"","name","start","nation","product","dist","class","genre","director","people","screen","play"
"200","미녀와 야수",41808,"프랑스","","(주)넥스트엔터테인먼트월드(NEW)","전체관람가","판타지,멜로/로맨스","크리스토프 갱스",315348,245,15409
"201","미니언즈",42214,"미국","","유니버설픽쳐스인터내셔널 코리아(유)","전체관람가","애니메이션","피에르 꼬팽,카일 발다",2612040,1202,41302
"202","미라클 벨리에",42243,"프랑스","","(주)영화사 진진","12세이상관람가","드라마","에릭 라티고",108147,470,5902
"203","미션 임파서블: 로그네이션",42215,"미국","","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","액션,스릴러,어드벤처","크리스토퍼 맥쿼리",6118959,437,89187
"204","미스컨덕트",42459,"미국","","(주)박수엔터테인먼트,㈜코리아스크린","15세이상관람가","범죄,스릴러","시모사와 신타로",148505,344,12012
"205","미쓰 와이프",42229,"한국","(주)영화사아이비젼","메가박스(주)플러스엠","15세이상관람가","코미디","강효진",975922,210,28749
"206","미안해 사랑해 고마워",42305,"한국","타임박스엔터테인먼트(주)","(주)쇼박스","15세이상관람가","드라마","전윤수",51120,155,6540
"207","바다 탐험대 옥토넛 스페셜",42040,"영국","","와이드 릴리즈(주)","전체관람가","애니메이션","니키 팰런",52168,162,1852
"208","바다 탐험대 옥토넛 시즌4: 빙하탐험선S",42425,"영국","","와이드 릴리즈(주)","전체관람가","애니메이션","다라 오코넬",60947,67,2085
"209","바다 탐험대 옥토넛 시즌4: 아슬아슬 구조대작전",42523,"영국","","와이드 릴리즈(주)","전체관람가","애니메이션,어드벤처","다라 오코넬",58242,288,2293
"210","바닷마을 다이어리",42355,"일본","","(주)티캐스트","12세이상관람가","드라마","고레에다 히로카즈",86451,500,2724
"211","바람이 분다",41522,"일본","스튜디오 지브리","롯데쇼핑㈜롯데엔터테인먼트","전체관람가","애니메이션,드라마","미야자키 하야오",106439,346,6684
"212","박물관이 살아있다 : 비밀의 무덤",42018,"미국","","이십세기폭스코리아(주)","전체관람가","어드벤처,코미디,가족","숀 레비",1101678,333,30146
